PROJECT,IN_SANCTIONED_SET,STATEMENT_DATE,VALUE_MM,CURRENCY,KIND,BASIS,PROVENANCE,CONFIDENCE,SOURCE_TITLE,SOURCE_URL,QUOTED_TEXT,ACCESSED_DATE,NOTES
Martin Linge (ex-Hild),True,2012-02,4200,USD,sanction_estimate,"gross development investment at launch, operator-stated USD (= NOK 25.6bn)",operator,high,"TotalEnergies press release, 2 Feb 2012",https://totalenergies.com/media/news/press-releases/total-launches-hild-field-development-north-sea-norway,'This development will represent an investment of US$4.2 billion (NOK 25.6 billion)',2026-07-15,Same statement gives NOK 25600 — see the NOK sanction row.
Martin Linge (ex-Hild),True,2012-02,25600,NOK,sanction_estimate,"gross development investment at launch, operator-stated NOK",operator,high,"TotalEnergies press release, 2 Feb 2012",https://totalenergies.com/media/news/press-releases/total-launches-hild-field-development-north-sea-norway,'US$4.2 billion (NOK 25.6 billion)',2026-07-15,
Martin Linge (ex-Hild),True,2021,63000,NOK,final_outturn,~NOK 63bn outturn after yard/hook-up problems and a ~5-year first-oil slip,trade_press,low,NPD/Equinor reporting (outturn ~NOK 63bn),https://www.offshore-technology.com/projects/martin-linge-field-north-sea-norway/,reported outturn ~NOK 63 billion,2026-07-15,~2.5x the NOK 25.6bn sanction. NPD budget-document verbatim would upgrade to regulator tier (deferred).
Peregrino Phase 2,True,2015-02,3500,USD,sanction_estimate,gross investment at development-plan submission,operator,high,"Equinor press release, 27 Feb 2015",https://www.equinor.com/news/archive/2015/02/27/27FebPeregrino,"'The project entails investments of approximately USD 3,5 billion.'",2026-07-15,
Peregrino Phase 2,True,2022-10,3000,USD,final_outturn,"delivered within ~$3bn after a 2016 re-scope cut ~$500MM (downward outturn, rare)",trade_press,low,NS Energy / startup coverage (delivered within $3bn estimate),https://www.marinetechnologynews.com/news/statoil-submits-peregrino-509758,delivered within the $3 billion cost estimate,2026-07-15,Onstream 13 Oct 2022 (COVID delay from 2020). One of the few projects that came in BELOW sanction.
Frade (BC-4),True,2006-06,2400,USD,sanction_estimate,total planned gross investment at FID (partner Sojitz release),partner_sec,high,"Sojitz Corporation FID release, 22 Jun 2006 (via Wayback)",https://web.archive.org/web/2020/https://www.sojitz.com/en/news/2006/06/20060622-1.php,'The total planned investment in the project is US$2.4 billion.',2026-07-15,
Frade (BC-4),True,2011,3000,USD,spend_to_date,~$3bn invested per project profile,trade_press,low,Offshore Technology project profile,https://www.offshore-technology.com/projects/fradefieldcamposbasi/,'The partners invested approximately $3bn in developing the field.',2026-07-15,
Jubilee Phase 1,True,2009-07,3150,USD,sanction_estimate,original Phase 1 development budget,operator,medium,Offshore Magazine — Jubilee brings Ghana into deepwater fold,https://www.offshore-mag.com/production/article/16763668/jubilee-brings-ghana-into-deepwater-fold,original budget US$3.15bn (Tullow-reported),2026-07-15,
Jubilee Phase 1,True,2010-12,3300,USD,final_forecast,Phase 1 development cost stated at first oil by partner Kosmos,operator,high,"Kosmos Energy first-oil release (via Offshore Energy), Dec 2010",https://www.offshore-energy.biz/kosmos-energy-celebrates-first-oil-from-3-3-billion-jubilee-field-development-offshore-ghana/,'$3.3 billion world-class Jubilee Field development offshore the Republic of Ghana',2026-07-15,Tullow AR later reported ~$3.35bn final — a rare near-on-budget megaproject.
TEN (Tweneboa-Enyenra-Ntomme),True,2013-05,4000,USD,sanction_estimate,gross capex to first oil approved at sanction,operator,high,Offshore Magazine (Tullow executive quote),https://www.offshore-mag.com/deepwater/article/16754742/ten-extends-ghanas-tullows-deepwater-credentials,'the $4-billion figure we approved at sanction',2026-07-15,
TEN (Tweneboa-Enyenra-Ntomme),True,2016-08,4000,USD,final_forecast,capital costs to first oil came in UNDER the $4bn sanction figure,operator,high,Offshore Magazine (Tullow executive quote),https://www.offshore-mag.com/deepwater/article/16754742/ten-extends-ghanas-tullows-deepwater-credentials,'our capital costs to first oil will come in under the $4-billion figure we approved at sanction',2026-07-15,"First oil Aug 2016, 39 months after sanction, within budget."
Culzean,True,2015-08,4500,USD,sanction_estimate,operator's own parenthetical USD at sanction (= ~GBP 3bn),operator,medium,Maersk Oil announcement (Offshore Energy reprint),https://www.offshore-energy.biz/uk-approves-maersk-oils-culzean-field-development/,'investing around GBP 3bn (USD 4.5 bn)',2026-07-15,
Culzean,True,2016-12,4000,USD,revised_estimate,estimate cut ~$500MM to ~$4bn,trade_press,low,"Trade-press cost-cut coverage (Offshore Energy / Offshore Magazine, Dec 2016)",https://www.offshore-energy.biz/uk-approves-maersk-oils-culzean-field-development/,estimate cut by ~$500 million to ~$4 billion,2026-07-15,First gas Jun 2019 on schedule. Operator-verbatim Dec-2016 figure would upgrade this point.
Tyra Redevelopment,True,2017,3400,USD,sanction_estimate,"approved DUC investment, operator-parent-stated USD (= DKK 21bn)",operator,high,A.P. Moller - Maersk Annual Report 2017,https://investor.maersk.com/system/files-encrypted/nasdaq_kms/assets/2018/04/25/13-00-21/A.P._Moller_-_Maersk_Annual_Report_2017.pdf,'approved an investment of approx. DKK 21bn (equal to approx. USD 3.4bn) in the full redevelopment of the Tyra gas field',2026-07-15,
Tyra Redevelopment,True,2017,21000,DKK,sanction_estimate,"approved DUC investment, DKK",operator,high,A.P. Moller - Maersk Annual Report 2017,https://investor.maersk.com/system/files-encrypted/nasdaq_kms/assets/2018/04/25/13-00-21/A.P._Moller_-_Maersk_Annual_Report_2017.pdf,'approx. DKK 21bn (equal to approx. USD 3.4bn)',2026-07-15,
Tyra Redevelopment,True,2024,27000,DKK,final_outturn,"~DKK 27bn outturn after a ~2-year slip (guided 2022, first gas Mar 2024)",trade_press,low,Trade-press outturn coverage (~DKK 27bn),https://investor.maersk.com/,reported outturn ~DKK 27 billion,2026-07-15,Trade-tier; Danish Energy Agency / Total attribution would upgrade this point (deferred).
Mozambique LNG (Area 1),True,2020-07,20000,USD,sanction_estimate,"total post-FID investment (integrated LNG, incl. onshore)",operator,high,"TotalEnergies news, 17 Jul 2020",https://totalenergies.com/media/news/news/total-announces-signing-mozambique-lng-project-financing,'Mozambique LNG represents a total post-FID investment of 20 B$.',2026-07-15,OPEN trail: force majeure 2021-2024; restart-era cost-pressure statements (2024-2026) to be captured in a follow-up pass.
Pluto LNG foundation,False,2007-07,11200,AUD,sanction_estimate,original 100% project estimate at FID (integrated LNG),operator,medium,Offshore Technology project profile (Woodside FID estimate),https://www.offshore-technology.com/projects/pluto/,A$11.2 billion original estimate (2007 FID),2026-07-15,"Trail-only: AUD-native, so it did not meet the sanctioned_projects USD-attribution bar."
Pluto LNG foundation,False,2011-06,14900,AUD,revised_estimate,revised 100% project estimate (+A$0.9bn to A$14.9bn),operator,high,"Woodside announcement (via Offshore Energy), Jun 2011",https://www.offshore-energy.biz/australia-woodside-ups-pluto-cost-estimate-to-usd-15-8-billion/,'The revised estimate is expected to result in a A$900 million increase in cost to a total of A$14.9 billion (100% project).',2026-07-15,+33% over the A$11.2bn FID estimate. First cargo Apr 2012.
Catcher Area,False,2017-12,1600,USD,final_forecast,"total forecast capex at first oil, stated as 30% below the sanctioned estimate",operator,high,Premier Oil Full Year Results 2017 (RNS mirror),http://ajphku.com/pdf/2017-full-year-results7422.pdf,"'Total forecast capex for the Catcher Area remains at US$1.6 billion, 30 per cent lower than the sanctioned estimate.'",2026-07-15,"Trail-only: the sanctioned USD estimate (~$2.3bn implied by the -30%) was never stated verbatim, so Catcher is not in sanctioned_projects. Another sub-sanction outturn."
